"466061028,2026-09-18T11:27:24Z,1405/06/27 14:57,محمد,voyeger,quote,نان بخر مربوط به استان قدس بخر نان بهت میده ولی نوا را نمیدونم"
"a0e26e07-4796-42c1-87b4-531b65dafc08,,,,,all,"
"466061020,2026-09-18T11:26:50Z,1405/06/27 14:56,امیر حریرچی,harirchi94,twit,بیشترین خروج پول حقیقی هفتگی در صندوقهای سهمی در هفته چهارم شهریوماه :\n#انار با 155 میلیارد تومان رتبه اول\n#جوانه_کوچک با 100 میلیارد تومان رتبه دوم\n#سینرژی با 89 میلیارد تومان رتبه سوم"
"466061016,2026-09-18T11:26:50Z,1405/06/27 14:56,ممد,m8136848148m,quote,خیلی خوش خیالی بااینکه ......"
"466061007,2026-09-18T11:25:38Z,1405/06/27 14:55,Sd,abi00800,twit,#فخوز دوستان ثفارس آماده صعود"
"466061000,2026-09-18T11:24:36Z,1405/06/27 14:54,Sd,abi00800,twit,#شپنا عزیزان ثفارس آماده صعود"
"466060990,2026-09-18T11:23:56Z,1405/06/27 14:53,Sd,abi00800,twit,#فملی عزیزان ثفارس آماده صعود"
"466060984,2026-09-18T11:23:17Z,1405/06/27 14:53,Sd,abi00800,twit,#فارس عزیزان ثفارس آماده صعود"
"466060979,2026-09-18T11:22:38Z,1405/06/27 14:52,Sd,abi00800,twit,#شتران عزیزان ثفارس آماده صعود"
"466060972,2026-09-18T11:22:27Z,1405/06/27 14:52,امیر حریرچی,harirchi94,twit,بیشترین ورود پول حقیقی هفتگی در صندوقهای سهمی در هفته چهارم شهریوماه :\n#اطلس با 273 میلیارد تومان رتبه اول\n#فیروزه با 85 میلیارد تومان رتبه دوم\n#رشدی_کیان با 72 میلیارد تومان رتبه سوم"
"466060968,2026-09-18T11:22:20Z,1405/06/27 14:52,ali reza,as5525,twit,#شاخص_بورس تورم به زبان ساده تو ایران پول ۱۴ تا لند کروز طی ۱۴ سال بشه یه ۲۰۷ اتومات!"
